occurred_at_iso,type,severity,title,description,lat,lng,source_name,source_url
2026-09-15T09:34:00.000Z,strike,medium,IRGC says second drone intercepted near Strait of Hormuz,,,,Middle East Eye,https://news.google.com/rss/articles/CBMirwFBVV95cUxNSlNjdGZFQ2VCQU1PbHZQRS1zT2VKU1RhZ0VtbzJSMHN1WlN3ZDlRT1I3Q0tCaTZjbWszRWh5T2VKcC1rdmZqeXZWV3JCRWZHZkRXYmJYYlBrcDFQSkxjMWYzV0VYbzNaX2xyLWlOTnoyT2d6NUQwT2JPRmxDa3RLWk8yRE1pSkVwMlBQZHo2WG85elM1MDVYbzR2NWNLNXk1YnJ3SUhZbXJEeHJDYWRV?oc=5
2026-09-15T09:35:06.000Z,strike,medium,Fourth intruding American MQ-1 drone shot down over Hormuz: IRGC,"Tehran, IRNA – The Islamic Revolution Guards Corps (IRGC) has shot down one more advanced MQ-1 drone over the Strait of Hormuz, bringing the number of unmanned aerial vehicles (UAVs) of the US enemy intercepted this week to four.",,,IRNA · Tehran state media,https://en.irna.ir/news/86264716/Fourth-intruding-American-MQ-1-drone-shot-down-over-Hormuz-IRGC
2026-09-15T09:41:45.000Z,strike,medium,Iran says MQ-1 drone intercepted west of Strait of Hormuz amid US tensions,,,,A News,https://news.google.com/rss/articles/CBMivwFBVV95cUxNZHZreHpyNDN3VEVXSElJUG92Y3R3bjNHWnVSYzl6cUFzVkdRSGJXTjNCRE5lbkpVcGJQcXVuN2hyVzhuS1ZSQzIzVDFZZTRmYm9WbHkxMzdaaDNIWWk2ZENMQjZtQTdWUDJmMWpjdFlhYnpzZklmYTJaekluZ2ZmSV8xaThGR3lYOV9ieDNnS2lJbkdUZHZId28yZTNVbHlpS0lvTnRoSWFxbm96bEtTeGtUWXNiamdiZXZsclo1b9IBxAFBVV95cUxPQUVHbXU1b29GdS1IQ19tZVlfZFljWHZhRkVsN2d3ZjdmWTQyZXhxQ2RkLVBvRk5sSHRiYzNSdTJ2X05vRzM1WVBJZ3dRaEVmLVpiQWFlMEtIeHd5N2lpODgwaEVEYmJRdUFjeTcwQW9jelZVOExIaUx1VTNzcE5LRmYxajhHLTUtUkF6WktoQVY0aHk0aUltZ3MyWERFeWdJakNrZWFTdGZxeUpuc19Ba21xWU1vSzIwSE5Na0RXUnk2ekls?oc=5
2026-09-15T09:45:28.000Z,ship_incident,high,Ship struck by projectile in Hormuz Strait: UK maritime body,,,,Yeni Safak English,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQQ0s4aFVqUWdMa3BsNmEyS2pNd196VHBzQ1hiMlduSUxBeFE2OEd0QkpUNndNZTRRaGtIdmJaWE9hSGdpSHBRMzdMRXJjYmhQUlJ2RDR5NHFFQl8wUEpOSms5Yjl6cmg5NEVLdG0wZVVCWk9Hbkx5bm85ZURiTndZVWpicGFXZnpE?oc=5
2026-09-15T09:51:47.000Z,ship_incident,high,Vessel struck by unknown projectile in Strait of Hormuz: UKMTO,,,,Anadolu Ajansı,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPUThtd2FRdy1UZi1lWGVEQWVjQnV6QXdfUFpFX2hSX2s4cUp1MU1nbTNCYnlyZU8yc0Y1NXRfRGY0ZFF5SXFDREN6QjFlN05YcTZWbkh0QVV6bWRYaGxWMFVtOHJfNTR5Q1dFRU5mVndmYlpBWVRZNEdyRkxOYnNfYll1WjZrSmNjMDNWeGZ0aERkUllhZU1RYmxVcWJUU1c2REYtOW9xRm9QUQ?oc=5
2026-09-15T10:05:34.000Z,strike,high,Conflicting Reports on Tanker “El Gaya” Attack in Strait of Hormuz,,,,IranWire,https://news.google.com/rss/articles/CBMiowFBVV95cUxPZ1FCNmYyd0lzTFg0U1E5eUJTZGExUkNpVXowZlpmTVlfcWdoWTVoN1k4SGVXbHBaZHRNMzdaWEdwQVRuTXdJMGdHUEtWNVl0a09KX0o5ZHVaNW5XaDBxOTNIWmdSZGZob00tR3ZNTy1XY1VnT2YxN0hmWWpMaV9ZQzhrWVhiUnNObW9uNmZaTDBSaENjU043UUFVTy12dXZidmww?oc=5
2026-09-15T10:07:37.000Z,ship_incident,high,A vessel struck by unknown projectile in Hormuz Strait: UKMTO,"TEHRAN, Sep. 15 (MNA) – The United Kingdom Maritime Trade Operation (UKMTO) has reported that a vessel was struck by an unknown projectile in the Strait of Hormuz.",,,Mehr News · Tehran state media,https://en.mehrnews.com/news/247778/A-vessel-struck-by-unknown-projectile-in-Hormuz-Strait-UKMTO
2026-09-15T10:14:46.000Z,strike,high,Vessel attacked by unidentified projectile in Strait of Hormuz,,,,Caliber.Az,https://news.google.com/rss/articles/CBMikwFBVV95cUxOUzEwcXFzNXRtUW1VQ2syaHJlQXdiVENsMG4wcS1rd09kQkRMMWdRSFJGbEtvZFhxM0VMa1VFcGRVMEd1S3hGdVdGNEpXQ0RtU1ZHTlk5V01YUXgtRWliQjJGd1k3eXp6OHNlbXBEaHBfQjFnVTZoTkFYdFB0NHBiZXFtclpsZ0dpRzB4VThrYUNyMVE?oc=5
2026-09-15T10:15:36.000Z,strike,medium,IRGC Aerospace Force Destroys American MQ-1 Predator Drone Over Strait of Hormuz: how 12 outlets framed it,,,,NewsCord,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOaktEdm9zRG9hS3c1OTJTZnBYdkxCTnp1akIzRVdQNEZ3Nm5QdHhRVklaMzhhWXZmZ0JLYlZiaU5ZeVlhQ0poOHRHZzZ6NXFrM3dtZG1sMVFYYlpyZUdGQXJnLXR2NFpiS29HRjJKbjVSTUpZU3B2WU1wUHBtSk5YdXdpS3VoZTVQRklmWU5xNF9NZ3pkdExXaUhHOXF3MWFWbm9NMWhPZjVFQ0VoaXRSN3dVc1ZjZlV6ckdSVDhZenFwZWNYaFY4TUFwdUxoWFVxbUZ6U0w1czg2WHpQVmtlWUhGM1ZQQkNUSVE?oc=5
2026-09-15T10:22:41.000Z,strike,medium,"Oman Rescues 23 from Attacked Oil Tanker, Two Missing","Oman's Maritime Security Centre said on Tuesday that the Panama-flagged oil tanker 'EL GAIA' was being towed to an Omani port after a fire broke out in its engine room following an attack.The tanker was about 103 nautical miles northeast of Musandam when it was attacked, the cen…",,,MarineLink,https://www.marinelink.com/news/oman-rescues-attacked-oil-tanker-two-542947
